Most Informative Features
     ('2015', '4', '00') = True           conser : libert =     57.7 : 1.0
('september', '25', '2015') = True           conser : libert =     43.5 : 1.0
('\xc2', '\xa9', '2015') = True           conser : libert =     27.8 : 1.0
('national', 'review', 'online') = True           conser : libert =     24.9 : 1.0
('september', '30', '2015') = True           conser : libera =     24.1 : 1.0
('\xe2', '\x80\x94', 'it\xe2') = True           conser : libert =     23.5 : 1.0
('political', 'reporter', 'national') = True           conser : libert =     23.5 : 1.0
('editor', 'national', 'review') = True           conser : libert =     22.1 : 1.0
('\xe2', '\x80\x94', '\xe2') = True           conser : libera =     17.3 : 1.0
('hillary', 'clinton', 'email') = True           conser : libert =     16.4 : 1.0
('chief', 'justice', 'earl') = True           libert : libera =     15.3 : 1.0
('justice', 'earl', 'warren') = True           libert : libera =     15.3 : 1.0
('south', 'china', 'sea') = True           libert : libera =     15.0 : 1.0
('editor\xe2', '\x80\x99', 'note') = True           conser : libert =     15.0 : 1.0
('kevin', 'd', 'williamson') = True           conser : libert =     15.0 : 1.0
('\x80\x94', 'it\xe2', '\x80\x99') = True           conser : libert =     15.0 : 1.0
('private', 'email', 'account') = True           conser : libert =     13.5 : 1.0
('defunding', 'planned', 'parenthood') = True           conser : libert =     13.5 : 1.0
('future', '\xe2', '\x80\x9d') = True           libert : conser =     13.3 : 1.0
('\xe2', '\x80\x9d', 'new') = True           libert : conser =     12.6 : 1.0
('state', 'department', 'officials') = True           conser : libert =     12.1 : 1.0
('\xe2', '\x80\x9d', 'writes') = True           libera : libert =     11.9 : 1.0
('hillary', 'clinton\xe2', '\x80\x99') = True           conser : libert =     11.2 : 1.0
('\xe2', '\x80\x94', 'david') = True           conser : libert =     10.7 : 1.0
('house', 'freedom', 'caucus') = True           conser : libert =     10.7 : 1.0
('\xe2', '\x80\x94', 'time') = True           conser : libert =     10.7 : 1.0
('senior', 'editor', 'national') = True           conser : libert =     10.7 : 1.0
('iowa', 'new', 'hampshire') = True           conser : libert =     10.7 : 1.0
('beach', 'high', 'school') = True           conser : libert =     10.7 : 1.0
('win', 'white', 'house') = True           conser : libert =     10.7 : 1.0
('huntington', 'beach', 'high') = True           conser : libert =     10.7 : 1.0
('william', 'f', 'buckley') = True           conser : libert =     10.7 : 1.0
('vermont', 'senator', 'bernie') = True           libera : libert =     10.2 : 1.0
('paul', 'actually', 'made') = True           libera : libert =     10.2 : 1.0
('mr', 'boehner\xe2', '\x80\x99') = True           libera : libert =     10.2 : 1.0
('export', 'import', 'bank') = True           conser : libera =      9.9 : 1.0
('clean', 'power', 'plan') = True           libert : conser =      9.3 : 1.0
('bureau', 'land', 'management') = True           conser : libert =      9.3 : 1.0
('life', '\xe2', '\x80\x94') = True           conser : libert =      9.3 : 1.0
('it\xe2', '\x80\x99', 'still') = True           conser : libert =      9.3 : 1.0
('september', '12', '2015') = True           conser : libert =      9.3 : 1.0
('congress', '\xe2', '\x80\x9c') = True           conser : libert =      9.3 : 1.0
('email', 'controversy', 'clinton') = True           conser : libert =      9.3 : 1.0
('side', 'deals', 'congress') = True           conser : libert =      9.3 : 1.0
   ('charles', 'c', 'w') = True           conser : libera =      9.1 : 1.0
('september', '10', '2015') = True           conser : libera =      9.1 : 1.0
('probably', 'won\xe2', '\x80\x99') = True           libera : libert =      9.0 : 1.0
('today\xe2', '\x80\x99', 'gop') = True           libera : libert =      9.0 : 1.0
('defund', 'planned', 'parenthood') = True           libera : libert =      9.0 : 1.0
('luther', 'king', 'jr') = True           libera : libert =      9.0 : 1.0
('freedom', '\xe2', '\x80\x9d') = True           libert : libera =      9.0 : 1.0
('private', 'e', 'mail') = True           conser : libert =      9.0 : 1.0
('it\xe2', '\x80\x99', 'possible') = True           libera : libert =      8.3 : 1.0
('house', 'speaker', 'john') = True           libera : libert =      8.3 : 1.0
('fran\xc3', '\xa7', 'ois') = True           libera : conser =      8.2 : 1.0
('leader', 'mitch', 'mcconnell') = True           conser : libert =      8.1 : 1.0
('majority', 'leader', 'mitch') = True           conser : libert =      8.1 : 1.0
('one', '\xe2', '\x80\x9c') = True           conser : libert =      8.1 : 1.0
('pope', 'francis\xe2', '\x80\x99') = True           conser : libert =      8.0 : 1.0
('\xe2', '\x80\x9c', 'love') = True           conser : libert =      7.8 : 1.0
('\x80\x99', 'iran', 'deal') = True           conser : libert =      7.8 : 1.0
('\xe2', '\x80\x9c', 'yes') = True           conser : libert =      7.8 : 1.0
    ('ted', 'cruz', 'r') = True           conser : libert =      7.8 : 1.0
('\xe2', '\x80\x9c', 'middle') = True           conser : libert =      7.8 : 1.0
('marked', '\xe2', '\x80\x9c') = True           conser : libert =      7.8 : 1.0
('\xe2', '\x80\x94', 'may') = True           conser : libert =      7.8 : 1.0
('senator', 'tom', 'cotton') = True           conser : libert =      7.8 : 1.0
('\xe2', '\x80\x9c', 'talking') = True           conser : libert =      7.8 : 1.0
('air', 'force\xe2', '\x80\x99') = True           conser : libert =      7.8 : 1.0
('\xe2', '\x80\x9d', 'clinton') = True           conser : libert =      7.8 : 1.0
('\xe2', '\x80\x94', 'often') = True           conser : libert =      7.8 : 1.0
('\xe2', '\x80\x94', 'get') = True           conser : libert =      7.8 : 1.0
     ('11', '2015', '2') = True           conser : libert =      7.8 : 1.0
('\xe2', '\x80\x94', 'right') = True           conser : libert =      7.8 : 1.0
 ('five', 'year', 'old') = True           conser : libert =      7.8 : 1.0
('\xe2', '\x80\x9c', 'hey') = True           conser : libert =      7.8 : 1.0
('\xe2', '\x80\x94', 'first') = True           conser : libert =      7.8 : 1.0
('election', '\xe2', '\x80\x94') = True           conser : libert =      7.8 : 1.0
('mean', '\xe2', '\x80\x9c') = True           conser : libert =      7.8 : 1.0
('clinton', 'state', 'department') = True           conser : libert =      7.8 : 1.0
('kentucky', 'county', 'clerk') = True           conser : libert =      7.8 : 1.0
('federal', 'income', 'taxes') = True           conser : libert =      7.8 : 1.0
('given', '\xe2', '\x80\x9c') = True           conser : libert =      7.8 : 1.0
('\x80\x9c', 'fair', 'share') = True           conser : libert =      7.8 : 1.0
('don\xe2', '\x80\x99', 'need') = True           libera : libert =      7.8 : 1.0
('catholic', 'worker', 'movement') = True           libera : libert =      7.8 : 1.0
    ('years', '9', '11') = True           libera : libert =      7.8 : 1.0
('\xe2', '\x80\x9d', 'like') = True           libera : libert =      7.8 : 1.0
('\xe2', '\x80\x9d', 'crane') = True           libera : libert =      7.8 : 1.0
('\xe2', '\x80\x9c', 'actually') = True           libera : libert =      7.8 : 1.0
('go', '\xe2', '\x80\x9d') = True           libera : libert =      7.8 : 1.0
('speaker', 'john', 'boehner') = True           conser : libert =      7.6 : 1.0
('keystone', 'xl', 'pipeline') = True           libera : libert =      7.6 : 1.0
('senator', 'bernie', 'sanders') = True           libera : libert =      7.6 : 1.0
('\xe2', '\x80\x94', 'would') = True           conser : libera =      7.5 : 1.0
('last', 'week\xe2', '\x80\x99') = True           conser : libera =      7.5 : 1.0
('doesn\xe2', '\x80\x99', 'want') = True           conser : libert =      7.3 : 1.0
('world', 'trade', 'center') = True           conser : libert =      7.3 : 1.0
('martin', 'luther', 'king') = True           libera : conser =      7.0 : 1.0
('bernie', 'sanders\xe2', '\x80\x99') = True           libera : conser =      7.0 : 1.0
('trans', 'pacific', 'partnership') = True           libert : conser =      7.0 : 1.0
('\xe2', '\x80\x9d', 'declared') = True           libera : libert =      6.9 : 1.0
('climate', 'change', '\xe2') = True           libera : libert =      6.9 : 1.0
('\xe2', '\x80\x9c', 'fair') = True           conser : libera =      6.7 : 1.0
('\x80\x99', 'hard', 'imagine') = True           libera : libert =      6.6 : 1.0
('\x80\x99', 're', 'told') = True           libera : libert =      6.6 : 1.0
('democratic', 'national', 'committee') = True           libera : libert =      6.6 : 1.0
('point', '\xe2', '\x80\x9c') = True           libera : libert =      6.6 : 1.0
('\xe2', '\x80\x9c', 'help') = True           libera : libert =      6.6 : 1.0
('correction', 'previous', 'version') = True           libera : libert =      6.6 : 1.0
('\xe2', '\x80\x9c', 'white') = True           libera : libert =      6.6 : 1.0
('question', '\xe2', '\x80\x9d') = True           libera : libert =      6.6 : 1.0
